$$	money
/.	Slashdot
*4u	Kiss for you
*67	unknown
*eg*	evil grin
0day	software illegally obtained before it was released
0noe	Oh No
0vr	over
10q	thank you
10tacle	Tentacle
10x	thanks
12b	wannabe
1337	elite
133t	elite
143	I love you
187	murder
1ab	wannabe
1daful	wonderful
1dering	wondering
1nce	once
1sec	one second
2	too
2b	to be
2b4u	too bad for you
2bad4u2	too bad for you too 
2bh	to be honest
2da	to the
2dae	today
2day	today
2ditd	today is the day
2ez	too easy
2g2b4g	To good to be forgotten
2g2bt	too good to be true
2ge4	Together
2getha	together 
2gether	together
2gethr	together
2getr	Together
2h2h	too hot to handle
2h4u	too hot for you
2k0	2000
2k1	2001
2k4	2004
2k6	2006
2k7	2007
2k8	2008
2k9	2009
2l8	too late
2m	tomorrow
2m4u	too much for you
2ma	Tomorrow
2maro	tomorrow
2mmrw	tomorrow
2mo	tomorrow
2mora	tomorrow
2moro	tomorrow
2morow	tomorrow
2morro	tomorrow
2morrow	tommorrow
2moz	tomorrow
2mozz	tomorrow
2mro	tomorrow
2mrw	tomorrow
2mw	tomorrow
2mz	tomorrow
2night	tonight
2nite	tonight
2nyt	tonight
2qt	too cute
2sday	tuesday
2tali	totally
2tm	to the max
2trd	too tired
2u2	To you too
301ing	referring traffic to another site
304	hoe
31337	elite
313373	elite
31ee7	elite
3arc	Treyarch
3q	thank you
3u	thank you
3vi1	evil
3y3 y4m	I am
4	for
404	Clueless
42n8	fortunate
4col	For crying out loud
4e&e	forever and ever
4eva	forever
4ever	forever
4evr	for ever
4evs	forever
4g8	forget
4gai	forget about it
4geit	forget it
4get	forget
4getu	forget you
4give	forgive
4got	forgot
4gv	forgive
4head	forehead
4hoa	four horsemen of the apocalypse
4lyf3	for life
4lyfe	for life
4m	form
4n	Phone
4r3al	for real
4rm	from
4sho	for sure
4tlog	for the love of god
4tw	for the win
4u	for you
4umb	For You Maybe
4us	for us
4ward	forward
4wd	forward
4yeo	For Your Eyes Only
5-oh	cop
5n	fine
5o	police
6up	cops in area
9009l3	Google
911sc	emergency let's stop chatting
9t	night
<3	love
?u@	Where are you?
?up	what's up?
?^	what's up?
@	at
^5	high five
:)book	facebook
>3	LOVE
?4u	Question for you
a&f	always and forever
a'ight	alright
a.i.m.	aol instant messanger
a/l	age and location
a/m	away message
a1t	anyone there
a3	anyplace
aabf	as a best friend
aaf	as a friend
aak	Alive and Kicking
aamof	as a matter of fact
aatf	always and totally forever
abd	Already Been Done
aboot	about
absnt	absent
abt	about
abwt	about
acc	account
acct	account
ack	acknowledged
addy	address
adhd	Attention Deficit Hyperactivity Disorder
adl	all day long
admin	administrator
adn	any day now
aeap	as early as possible
afaiaa	As Far As I Am Aware
afaic	as far as I'm concerned
afaicr	As Far As I Can Remember
afaics	as far as I can see
afaict	as far as I can tell
afaik	as far as I know
afair	as far as I recall
afaiu	As far as I understand
afc	away from computer
afcpmgo	away from computer parents may go on
afg	away from game
afk	away from keyboard
afkb	away from keyboard
agn	again
ai	Artificial Intelligence
aiadw	ALL IN A DAYS WORK
aiamu	and I'm a monkey's uncle
aicmfp	and I claim my five pounds
aight	Alright
aightz	alright
aiic	as if I care
aiid	and if I did
aiight	all right
aim	AOL instant messanger
ain't	am not
aite	Alright
aitr	Adult in the room
aiui	as I understand it
aiws	as i was saying
ajax	Asynchronous Javascript and XML
aka	also known as
akp	Alexander King Project
akpcep	Alexander King Project Cultural Engineering Project
alaytm	as long as you tell me
alol	actually laughing out loud
alot	a lot
alotbsol	always look on the bright side of life
alright	all right
alrite	Alright
alrt	alright
alryt	alright
ama	ask me anything
amiic	ask me if i care
aml	All My Love
amsp	ask me something personal
anim8	animate
anl	all night long
anon	anonymous
anuda	another
anw	anyways
anwwi	alright now where was i
any1	Anyone
anywaz	anyways
aob	any other business
aoc	age of consent
aoe	Age Of Empires
aon	all or nothing
aos	adult over shoulder
aota	all of the above
aoto	Amen on that one
aoys	angel on your shoulder
api	application program interface
apoc	apocalypse
apod	Another Point Of Discussion
app	application
appt	appointment
aprece8	appreciate
apreci8	appreciate
apu	as per usual
aqap	as quick as possible
ar	are
arnd	around
arsed	bothered
arvo	afternoon
asaik	as soon as I know
asap	as soon as possible
asarbambtaa	All submissions are reviewed by a moderator before they are added.
asbmaetp	Acronyms should be memorable and easy to pronounce
asic	application specific integrated circuit
atb	all the best
atl	atlanta
atm	at the moment
ato	against the odds
atop	at time of posting
atp	answer the phone
atq	answer the question
atst	At the same time
attn	attention
attotp	At The Time Of This Post
atw	All the way
aty	according to you
audy	Are you done yet?
aup	acceptable use policy
av7x	avenged sevenfold
avgn	Angry Video Game Nerd
avie	Avatar
avsb	a very special boy
avtr	avatar
avvie	avatar
avy	Avatar
awes	awesome
awk	awkward
awol	absent without leave
awsic	and why should i care
awsm	awesome
awsome	awesome
ayagob	are you a girl or boy
ayb	All Your Base
aybab2m	all your base are belong 2 me
aybab2u	All your base are belong to us
aybabtg	All Your Base Are Belong To Google
aybabtu	all your base are belong to us
ayc	awaiting your comments
ayd	are you done
aydy	are you done yet
ayec	at your earliest convenience
ayfr	are you for real
ayk	are you kidding
aykm	are you kidding me
ayl	are you listening
aymf	are you my friend
ayok	are you okay
aypi	And Your Point Is
aypi	and your point is
ays	are you serious
ayst	are you still there
ayt	are you there
ayte	alright
ayty	are you there yet
ayw	as you wish
azn	asian
bi	bye
b&	banned
b'day	birthday
b	cuz
b	day
b.f.f.	best friend forever
b/c	because
b/cos	because
b/g	background
b/t	between
b/w	between
b00n	new person
b00t	boot
b0rked	broken
b2b	business to business
b2u	back to you
b2w	Back to work
b3	be
b4	before
b4n	bye for now
b4u	before you
b8	bait
b82rez	Batteries
b8rez	Batteries
b@	banned
babi	baby
baf	bring a friend
bah	I don't really care
bai	Bye
bak	back
bakk	back
bau	back at you
bb	bye bye
bb4n	Bye
bbe	baby
bbf	best boy friend
bbfn	Bye Bye for now
bbfs	best boyfriends
bbfu	be back for you
bbi	Baby
bbiab	be back in a bit
bbiaf	be back in a few
bbialb	Be back in a little bit
bbiam	be back in a minute
bbias	be back in a second
bbiaw	be back in a while
bbifs	be back in a few seconds
bbilb	be back in a little bit
bbilfm	be back in like five minutes
bbim	Be Back In Minute
bbk	be back
bbl	be back later
bbl8a	Be Back Later
bblig	Be back later...i guess
bbm	BlackBerry Messenger
bbml	be back much later
bbn	be back never
bbol	be back online later
bbp	Banned by parents
bbq	be back quick
bbrs	be back really soon
bbs	be back soon
bbsts	be back some time soon
bbt	be back tomorrow
bbtn	be back tonite
bbvl	Be Back Very Later
bbw	be back whenever
bbwe	be back whenever
bbwl	be back way later
bby	baby
bbz	babes
bc	because
bck	back
bcnu	be seeing you
bcnul8r	be seeing you later
bcoz	Because
bcurl8	Because you're late.
bcuz	because
bd	birthday
bday	birthday
bdfl	Benevolent Dictator For Life
be4	before
bebe	baby
becuse	because
becuz	because
besos	kisses
bestie	best friend
betcha	bet you
bettr	better
bewt	boot
bezzie	best friend
bf	boyfriend
bf's	boyfriend's
bf+gf	boyfriend and girlfriend
bf4e	best friends for ever
bf4eva	Best Friends forever
bf4l	best friends for life
bfam	brother from another mother
bff	best friend forever
bffa	best friends for always
